,0
36115080100,12801
36077591000,13820
36081000200,11421
36081001600,11421
36081002400,11416
36081004001,11416
36081005300,11106
36081007500,11102
36081011000,11416
36081011900,11105
36081012200,11418
36027010000,12501
36027080202,12603
36027140602,12542
36027220801,12601
36029000600,14218
36029003100,14208
36029003901,14214
36029004401,14215
36029005600,14207
36029006701,14213
36085018902,10314
36085024402,10307
36085030302,10303
36087011302,10954
36047050700,11206
36047051601,11226
36047053300,11205
36081012602,11416
36081013600,11351
36081014900,11103
36059304204,11590
36047056000,11229
36047057100,11222
36047058400,11223
36047061002,11235
36047063600,11229
36047068000,11210
36047069200,11210
36047072800,11210
36047074800,11210
36047078000,11210
36047079801,11225
36001002500,12202
36029013002,14219
36029014209,14026
36029014901,14004
36059406702,11530
36029015401,14047
36029016100,14091
36029016500,14201
36029016900,14222
36033940000,13655
36035970700,12078
36037950600,14020
36047082000,11225
36047083400,11203
36005024100,10453
36005024501,10453
36005025200,10462
36005026400,10461
36005027300,10468
36005028600,10462
36005029700,10463
36009961200,16727
36005033700,10471
36005035000,10469
36005035900,10460
36005036502,10460
36005036902,10457
36005037800,10467
36005038600,10469
36005039500,10457
36005042000,10470
36005042800,10466
36005043000,10470
36005046000,10466
36007000500,13903
36003940200,14727
36005000100,10474
36005000400,10473
36005002701,10454
36005003100,10455
36005004100,10454
36005004800,10459
36005005400,10459
36005006400,10460
36005007300,10455
36005008300,10455
36005012101,10459
36005012901,10456
36011041700,13021
36013030600,14701
36013035902,14048
36005014100,10451
36005015200,10465
36005022401,10458
36007012102,13901
36007013100,13760
36007013500,13760
36007013800,13790
36005022701,10453
36005023200,10460
36005023501,10453
36001001802,12208
36001001902,12208
36001002300,12209
36001013400,12189
36001013706,12211
36001014002,12206
36001014606,12056
36005019400,10461
36005020100,10032
36005021100,10452
36005021700,10452
36005031600,10469
36005033201,10458
36029014501,14043
36029014904,14004
36029016800,14208
36047029800,11214
36081126500,11432
36081024700,11377
36081025700,11377
36081026000,11433
36081026902,11373
36081027400,11433
36081028000,11433
36081028800,11436
36089490900,13696
36089491600,13669
36091060200,12803
36101961700,14821
36101962500,14870
36059303302,11501
36059304203,11590
36103122901,11704
36103123302,11701
36103123802,11726
36103124002,11757
36103124602,11704
36103135003,11780
36103135209,11725
36081057700,11385
36081058700,11237
36081059400,11411
36081060000,11411
36081060800,11411
36081061400,11411
36081062000,11411
36081062700,11385
36081063800,11413
36081064600,11413
36081066701,11379
36061010200,10103
36029007903,14150
36029008102,14217
36029008800,14216
36029009008,14221
36029009114,14068
36029009302,14226
36029009800,14227
36029010300,14211
36063023700,14094
36063024002,14105
36063940001,14092
36065020300,13501
36065021102,13417
36103135402,11767
36103145703,11788
36103146001,11717
36103146201,11717
36103146403,11722
36103147402,11706
36091060902,12871
36091061404,12863
36091062200,12118
36047067200,11210
36047068200,11210
36047070202,11229
36061001800,10002
36061002400,10009
36061011000,10065
36065021601,13501
36065022400,13441
36103169902,11948
36061003002,10002
36061003800,10003
36061004200,10003
36061004900,10012
36061005502,10012
36061006300,10011
36061007000,10016
36061009400,10110
36081039400,11412
36081039800,11412
36067013800,13088
36103110401,11743
36103110902,11724
36103111401,11743
36103111506,11746
36103111803,11731
36103112213,11747
36103122501,11798
36047087600,11213
36071012601,12553
36071015003,10917
36073040802,14470
36047024700,11238
36047025400,11204
36047025700,11206
36047026300,11216
36047026800,11204
36047029300,11221
36047040500,11233
36047041000,11223
36061011202,10153
36061011401,10153
36061012000,10065
36061013100,10018
36061013800,10021
36117021600,14551
36119000103,10705
36119000500,10705
36047088600,11212
36047090200,11212
36059409300,11756
36059410200,11565
36059411400,11598
36059411901,11563
36059413001,11518
36103158010,11733
36103158110,11720
36103158306,11766
36103158318,11789
36103158407,11789
36103158509,11784
36119000900,10703
36119001403,10705
36119002103,10707
36119004100,10552
36081040900,11369
36081046000,11433
36081046300,11373
36081047000,11432
36081048000,11423
36081049301,11378
36081049500,11378
36081050400,11412
36103158605,11779
36103158709,11953
36043010501,13340
36045060803,13616
36045061400,13601
36045061900,13601
36047000100,11201
