,geoid
349,34023007906
350,34023007908
351,34023007910
352,34023008101
353,34023008204
354,34023008205
355,34023008206
356,34023008207
357,34023008300
358,34023008900
359,34023009000
360,34025800100
361,34025801600
362,34025801700
363,34025801900
364,34025802000
365,34025802600
366,34025803400
367,34025804400
368,34025804800
369,34025805001
370,34025805002
371,34025805400
372,34025805500
373,34025805600
374,34025805700
375,34025805800
376,34025805900
377,34025806000
378,34025806501
379,34025806502
380,34025807003
381,34025807004
382,34025807100
383,34025807200
384,34025807300
385,34025807400
386,34025807500
387,34025807600
388,34025807700
389,34025808100
390,34025810002
391,34025810700
392,34025810800
393,34025810900
394,34025811000
395,34025811101
396,34025811600
397,34027043500
398,34027044800
399,34027045000
400,34027045602
401,34027046000
402,34029713203
403,34029713300
404,34029713402
405,34029713900
406,34029714100
407,34029715000
408,34029715200
409,34029715301
410,34029715500
411,34029715600
412,34029715700
413,34029715800
414,34029715900
415,34029715901
416,34029715902
417,34029716000
418,34029720000
419,34029720001
420,34029720101
421,34029720102
422,34029720103
423,34029720201
424,34029720202
425,34029720203
426,34029720205
427,34029720206
428,34029721000
429,34029722002
430,34029722200
431,34029722800
432,34029722900
433,34029723500
434,34029729000
435,34029731201
436,34029731202
437,34029731203
438,34029731204
439,34029731205
440,34029731206
441,34029732002
442,34029734001
443,34029735101
444,34029736101
445,34029736102
446,34029736103
447,34029736105
448,34029737000
449,34029739100
450,34031124323
451,34031124500
452,34031124601
453,34031124602
454,34031124700
455,34031124800
456,34031124900
457,34031125000
458,34031125100
459,34031133701
460,34031133702
461,34031175200
462,34031175300
463,34031175301
464,34031175302
465,34031175400
466,34031175401
467,34031175402
468,34031175500
469,34031175600
470,34031175602
471,34031175700
472,34031175701
473,34031175703
474,34031175704
475,34031175800
476,34031175801
477,34031175802
478,34031175900
479,34031180200
480,34031180201
481,34031180202
482,34031180300
483,34031180500
484,34031180600
485,34031180700
486,34031180800
487,34031180900
488,34031181000
489,34031181100
490,34031181200
491,34031181300
492,34031181400
493,34031181500
494,34031181702
495,34031181800
496,34031181900
497,34031182000
498,34031182100
499,34031182200
500,34031182300
501,34031182301
502,34031182302
503,34031182400
504,34031182500
505,34031182600
506,34031182700
507,34031182800
508,34031182900
509,34031183000
510,34031183100
511,34031183101
512,34031183102
513,34031183200
514,34031203600
515,34031223801
516,34031223900
517,34031264200
518,34035050100
519,34035050400
520,34035050500
521,34035051100
522,34035051200
523,34035051500
524,34035051600
525,34035051700
526,34035051800
527,34035052002
528,34035053300
529,34037371000
530,34037371200
531,34037371600
532,34037372800
533,34037372900
534,34037373700
535,34037373800
536,34039030200
537,34039030300
538,34039030400
539,34039030500
